title;Marca;Preco_Normal;Preco_Desconto;Preco_Anterior;Desconto;Categoria
Pack 6 un, Leche moments cappuccino 200 ml;Danone;3174;0;0;0;lacteos
Pack 6 un, Leche moments moca 200 ml;Danone;3174;0;0;0;lacteos
Bebida láctea Máxima 800 g;Máxima MP;3160;0;0;0;lacteos
Piña congelada 500 g;Cuisine & Co;3159;0;0;0;congelados
Sabanillas con tecnología gel 6 un, 90 x 60 cm c/u;Cotosan;3149;0;0;0;belleza-y-cuidado-personal
Huevo grande de gallina libre 12 un,;Cintazul;3149;0;0;0;lacteos
Huevos color gallina libre 12 un,;Cuisine & Co;3129;0;0;0;lacteos
Bombón helado chomp frambuesa a la crema 225 ml;Savory;3119;0;0;0;congelados
Mantequilla vegetal aceite coco 125 g;Signore Mario;3099;0;0;0;lacteos
Nuggets de pollo 400 g;La Crianza;3090;0;0;0;congelados
Pack 6 un, Leche proteína chocolate 200 ml;Soprole;3090;0;0;0;lacteos
Margarina sin lactosa 500 g;Loncoleche;3079;0;0;0;lacteos
Margarina Mix 500 g;Sureña;3069;0;0;0;lacteos
Petit suisse Chiquitín Frutilla multipack 12x45g;Chiquitín;3069;0;0;0;lacteos
Mantequilla de campo 230 g;San Ignacio;3069;0;0;0;lacteos
Arándanos congelado 400 g;Cuisine & Co;3059;0;0;0;congelados
Desodorante barra Double Defense Floral Fresh 45 g;Lady Speed Stick;2999;0;0;0;belleza-y-cuidado-personal
Desodorante barra Invisible Floral 45 g;Lady Speed Stick;2999;0;0;0;belleza-y-cuidado-personal
Desodorante barra hipoalergénico 50 g;Speed Stick;2999;0;0;0;belleza-y-cuidado-personal
Desodorante roll on invisible Black & White clear 50 ml;Nivea;2999;0;0;0;belleza-y-cuidado-personal
Desodorante roll on invisible b&w 50 ml;Nivea;2999;0;0;0;belleza-y-cuidado-personal
Helado vainilla 1 L;Bresler;2999;0;0;0;congelados
Helado chocolate 1 L;Bresler;2999;0;0;0;congelados
Helado chocolate frutilla y vainilla 1 L;Bresler;2999;0;0;0;congelados
Helado piña 1 L;Bresler;2999;0;0;0;congelados
Mantequilla de campo 250 g;Kumey;2999;0;0;0;lacteos
Pack 6 un, Bebida láctea manjar 170 ml;Shake A Shake Lonco Leche;2994;0;0;0;lacteos
Pack 6 un, Bebida láctea chocolate 170 ml;Shake A Shake Lonco Leche;2994;0;0;0;lacteos
Naranja malla 2 kg;Frutas Y Verduras Propias;2990;0;0;0;frutas
Tomate cherry clamshell 500 g;Frutas Y Verduras Propias;2990;0;0;0;verduras
Protectores diarios cortos normal 100 un,;Nosotras;2989;0;0;0;belleza-y-cuidado-personal
Pack 6 un, Leche light chocolate 200 ml;Colun;2970;0;0;0;lacteos
Porotos granados 500 g;Frutos Del Maipo;2959;0;0;0;congelados
Pulpa de Frambuesas doypack 335 g;Minuto Verde;2959;0;0;0;congelados
Helado de agua de frambuesa 1 L;San Francisco De Loncomilla;2949;0;0;0;congelados
Helado de agua de arándano 1 L;San Francisco De Loncomilla;2949;0;0;0;congelados
Helado de agua de limón 1 L;San Francisco De Loncomilla;2949;0;0;0;congelados
Helado de agua de piña 1 L;San Francisco De Loncomilla;2949;0;0;0;congelados
Helado sabor agua mango 1 L;San Francisco De Loncomilla;2949;0;0;0;congelados
Pack 5 un, Yoghurt con cereales 140 g;Soprole;2939;0;0;0;lacteos
Pack 6 un, Bebida láctea mora 200 ml;Yogu - Yogu;2934;0;0;0;lacteos
Pack 6 un, Bebida láctea frutilla 200 ml;Yogu - Yogu;2934;0;0;0;lacteos
Pack 6 un, Bebida láctea chirimoya 200 ml;Yogu - Yogu;2934;0;0;0;lacteos
Pack 6 un, Bebida láctea damasco 200 ml;Yogu - Yogu;2934;0;0;0;lacteos
Margarina1 kg;Pamperita;2929;0;0;0;lacteos
Margarina Mix con mantequilla 500 g;Soprole;2929;0;0;0;lacteos
Huevos de codorniz 24 un,;Cuisine & Co;2919;0;0;0;lacteos
Pack 6 un, Leche sin lactosa descremada 200 ml;Colun;2910;0;0;0;lacteos
Huevos grandes color Omega 3 12 unid;Omega 3;2899;0;0;0;lacteos
Toallas higiénicas Nosotras Buenas Noches normal 20 un,;Nosotras;2890;0;0;0;belleza-y-cuidado-personal
Papa malla 2 kg;Frutas Y Verduras Propias;2890;0;0;0;verduras
Mantequilla sin lactosa 250 g;Surlat;2879;0;0;0;lacteos
Pack 12 un, Yoghurt batido 125 g;Colun;2869;0;0;0;lacteos
Complete 4 en 1 pasta dental 66 ml;Oral-B;2859;0;0;0;belleza-y-cuidado-personal
Leche Trencito Chocolate Multipack 6x200ml;Nestlé;2850;0;0;0;lacteos
Toallas higiénicas Always Seca Noche 16 un,;Always;2849;0;0;0;belleza-y-cuidado-personal
Cepillo dental Twister Fresh medio 3 un,;Colgate;2849;0;0;0;belleza-y-cuidado-personal
Mantequilla untable 200 g;Soprole;2829;0;0;0;lacteos
Pasta dental Total 12 anti sarro 90 g;Colgate;2820;0;0;0;belleza-y-cuidado-personal
Pack 6 un, Leche saborizada individual chocolate 200 ml;Loncoleche;2814;0;0;0;lacteos
Pack 6 un, Leche chocolatada 200 ml;Loncoleche;2814;0;0;0;lacteos
Pack 6 un, Leche saborizada individual vainilla 200 ml;Loncoleche;2814;0;0;0;lacteos
Pack 6 un, Leche semidescremada sin lactosa 200 ml;Loncoleche;2814;0;0;0;lacteos
Pack 6 un, Leche semidescremada chocolate 200 ml;Colun;2790;0;0;0;lacteos
Yoghurt + Cereal Nestlé Chocapic + Zucosos multipack 710g;Nestlé;2779;0;0;0;lacteos
Yoghurt + Cereal Nestlé Chocapic+ Milo multipack 5x142g;Nestlé;2779;0;0;0;lacteos
Jabón líquido cremoso Soft 750 ml;Nivea;2699;0;0;0;belleza-y-cuidado-personal
Pack 2 un, Jabón barra almendras o Frutos rojos 150 g;Le Sancy;2699;0;0;0;belleza-y-cuidado-personal
Cepillo dental triple acción suave 2 un,;Colgate;2690;0;0;0;belleza-y-cuidado-personal
Toallas higiénicas Ladysoft nocturna ultradelgada 16 un,;Ladysoft;2670;0;0;0;belleza-y-cuidado-personal
Pack 6 un, Leche semidescremada chocolate 200 ml;Soprole;2670;0;0;0;lacteos
Pack 6 un, Leche semidescremada frutilla 200 ml;Soprole;2670;0;0;0;lacteos
Pack 6 un, Leche sin lactosa semidescremada chocolate 200 ml;Soprole;2670;0;0;0;lacteos
Pack 6 un, Leche chocolate receta original 200 ml;Soprole;2670;0;0;0;lacteos
Yoghurt trozos berries pote 800 g;Quillayes;2669;0;0;0;lacteos
Frutilla congelada 500 g;Cuisine & Co;2668;0;0;0;congelados
Pack 3 un, Leche cappuccino sin lactosa 330 ml;Colun;2637;0;0;0;lacteos
Pack 3 un, Leche light cappuccino prisma 330 ml;Colun;2637;0;0;0;lacteos
Pack 3 un, Leche caramelo prisma 330 ml;Colun;2637;0;0;0;lacteos
Mantequilla 200 g;Colun;2629;0;0;0;lacteos
Cepillo de dientes minipep ultrasuave 2-6 años;Pepsodent;2619;0;0;0;belleza-y-cuidado-personal
Pulpa de Mango doypack 335 g;Minuto Verde;2619;0;0;0;congelados
Jabón barra avena 3 un, 90 g c/u;Protex;2599;0;0;0;belleza-y-cuidado-personal
Pasta dental Natural Extracts carbón 90 g;Colgate;2599;0;0;0;belleza-y-cuidado-personal
Toallas higiénicas Kotex Ultrafina nocturna con alas 15 un,;Kotex;2590;0;0;0;belleza-y-cuidado-personal
Lasaña boloñesa Listo 330 g;PF;2590;0;0;0;comidas-preparadas
Lasaña espinaca champiñón Listo 330 g;PF;2590;0;0;0;comidas-preparadas
Yoghurt batido multipack tradicional 12 x 115 g;Nestlé;2589;0;0;0;lacteos
Yoghurt batido multipack berries 12 x 115 g;Nestlé;2589;0;0;0;lacteos
Crema para peinar Control y definición Rizos M 300 ml;Fructis;2579;0;0;0;belleza-y-cuidado-personal
Margarina Bonella Sabor Mantequilla Pote 500 g;Bonella;2579;0;0;0;lacteos
Huevos Grandes Color Santa Marta 12 unid;Santa Marta;2579;0;0;0;lacteos
Pack 6 un, Leche descremada 200 ml;Colun;2574;0;0;0;lacteos
Pack 6 un, Leche semidescremada 200 ml;Colun;2574;0;0;0;lacteos
Mantequilla sin sal 250 g;Colun;2499;0;0;0;lacteos
Margarina light pote 500 g;Bonella;2489;0;0;0;lacteos
Huevos grandes blancos 12 un,;Cintazul;2479;0;0;0;lacteos
Mantequilla con sal 250 g;Quillayes;2479;0;0;0;lacteos
Mantequilla con sal 250 g;Calo;2479;0;0;0;lacteos
Yoghurt natural 0% pote 800 g;Quillayes;2479;0;0;0;lacteos
Huevos grandes color bandeja 12 un,;Cuisine & Co;2469;0;0;0;lacteos
Mantequilla con sal 250 g;Soprole;2459;0;0;0;lacteos
Huevos grandes blancos bandeja 12 un,;Cuisine & Co;2429;0;0;0;lacteos
Cepillo dental Tonny Dento 3+ extra suave 2 un,;Dento;2399;0;0;0;belleza-y-cuidado-personal
Cepillo dental Twister Fresh suave 2 un,;Colgate;2390;0;0;0;belleza-y-cuidado-personal
Cepillo dental Twister Fresh medio 2 un,;Colgate;2390;0;0;0;belleza-y-cuidado-personal
Tintura máximo brillo 8/1 rubio claro ceniza;Ilicit;2390;0;0;0;belleza-y-cuidado-personal
Pasta untable Ave Pimiento 250 g;Corbac;2390;0;0;0;comidas-preparadas
Pasta ave mayo 250 g;Santa Isabel;2390;0;0;0;comidas-preparadas
Pasta untable club 250 g;Corbac;2390;0;0;0;comidas-preparadas
Mantequilla con sal de mar 250 g;Soprole;2389;0;0;0;lacteos
