title;Marca;Preco_Normal;Preco_Desconto;Preco_Anterior;Desconto;Categoria
Cepillo dental Kids Mickey;Oral-B;2359;0;0;0;belleza-y-cuidado-personal
Saborizante para leche Nesquik Vainilla Bolsa 380g;Nesquik;2349;0;0;0;lacteos
Leche cultivada proteína frutilla 1 L;Soprole;2329;0;0;0;lacteos
Levadura fresca 500 g;Lefersa;2329;0;0;0;lacteos
Sucedáneo de chorizo vegano 260 g;Rikü;2299;0;0;0;congelados
Naranja malla 1,5 kg;Frutas Y Verduras Propias;2290;0;0;0;frutas
Tomate mix coctel variedades 300 g;Frutas Y Verduras Propias;2290;0;0;0;verduras
Mantequilla con sal 250 g;Surlat;2289;0;0;0;lacteos
Habas tiernas 400 g;La Crianza;2259;0;0;0;congelados
Mantequilla con sal 250 g;Los Alerces;2259;0;0;0;lacteos
Toallas higiénicas Always Suave Ultrafina 16 un,;Always;2239;0;0;0;belleza-y-cuidado-personal
Margarina untable aceite oliva 250 g;Loncoleche;2229;0;0;0;lacteos
Leche cultivada sin lactosa chirimoya 1 L;Zerolacto;2219;0;0;0;lacteos
Leche cultivada sin lactosa frutilla 1 L;Zerolacto;2219;0;0;0;lacteos
Mantequilla vegetal 227 g;Bonella;2190;0;0;0;lacteos
Piña un,;Frutas Y Verduras Propias;2190;0;0;0;frutas
Zapallo europeo un,;Frutas Y Verduras Propias;2190;0;0;0;verduras
Pack 3 un, Jabón en barra Le Sancy variedades 90 g c/u;Le Sancy;2179;0;0;0;belleza-y-cuidado-personal
Jabón barra frutos rojos 3 un, 90 g c/u;Le Sancy;2179;0;0;0;belleza-y-cuidado-personal
Yogurt Triple Zero natural 900 g;Activia;2179;0;0;0;lacteos
Yogurt Activia sin lactosa Bolsa 900g;Activia;2179;0;0;0;lacteos
Mantequilla 250 g;Santa Isabel;2139;0;0;0;lacteos
Pack 6 un, Probiótico defensas sabor frutilla 80 ml;Soprole;2119;0;0;0;lacteos
Jabón barra orchideas 3 un, 85 g;Nivea;2099;0;0;0;belleza-y-cuidado-personal
Jabón barra avena 3 un, 85g;Nivea;2099;0;0;0;belleza-y-cuidado-personal
Máquina de afeitar piel sensible 3 unid,;Schick;2099;0;0;0;belleza-y-cuidado-personal
Pack 6 un, Leche chocolate 200 ml;Cuisine & Co;2094;0;0;0;lacteos
Jabón líquido Dermo Care avena 1 L;Simond'S;2090;0;0;0;belleza-y-cuidado-personal
Jabón líquido Dermo Care cremoso pH neutro 1 L;Simond'S;2090;0;0;0;belleza-y-cuidado-personal
Jabón líquido Dermo Care 1 L;Simond'S;2090;0;0;0;belleza-y-cuidado-personal
Nugget Crocante Sadia 300 g;Sadia;2090;0;0;0;congelados
Pack 6 un, Yoghurt batido con bombilla frutilla 115 g;Soprole;2089;0;0;0;lacteos
Pack 6 un, Yoghurt batido con bombilla vainilla 155 g;Soprole;2089;0;0;0;lacteos
Habas 500 g;Minuto Verde;2079;0;0;0;congelados
Yoghurt batido Calan 110 g 12 unid;Calan;2079;0;0;0;lacteos
Yoghurt batido frutilla 1 kg;Soprole;2069;0;0;0;lacteos
Yoghurt batido vainilla 1 kg;Soprole;2069;0;0;0;lacteos
Leche proteína chocolate 1 L;Soprole;2069;0;0;0;lacteos
Yoghurt batido damasco 1 kg;Soprole;2069;0;0;0;lacteos
Arvejas tiernas 400 g;La Crianza;2059;0;0;0;congelados
Pizza jamón queso individual 250 g;PF;2050;0;0;0;comidas-preparadas
Pizza pepperoni individual 230 g;PF;2050;0;0;0;comidas-preparadas
Bebida láctea Chamyto multipack tutti-frutti 6 un, 80 ml;Nestlé;2039;0;0;0;lacteos
Pack 6 un, Bebida láctea frambuesa 80 ml;Nestlé;2039;0;0;0;lacteos
Pack 6 un, Bebida láctea natural 80 ml;Nestlé;2039;0;0;0;lacteos
Máquina de afeitar Prestobarba3 F1 roja 2 un,;Gillette;1999;0;0;0;belleza-y-cuidado-personal
Hamburguesa tres quínoas 200 g;Rikü;1999;0;0;0;congelados
Hamburguesa de garbanzos 200 g;Rikü;1999;0;0;0;congelados
Cepillo dental mediano 2 un,;Dento;1990;0;0;0;belleza-y-cuidado-personal
Cepillo dental plus suave 2 un,;Dento;1990;0;0;0;belleza-y-cuidado-personal
Jabón espuma vainilla 300 ml;Family Care;1990;0;0;0;belleza-y-cuidado-personal
Jabón líquido PH5 1 L;Ballerina;1990;0;0;0;belleza-y-cuidado-personal
Jabón líquido aceite de almendras 750 ml;Le Sancy;1990;0;0;0;belleza-y-cuidado-personal
Jabón alcohol gel 250 ml;Family Care;1990;0;0;0;belleza-y-cuidado-personal
Choclo tierno 400 g;La Crianza;1990;0;0;0;congelados
Anillos de cebolla tempura 400 g;Cuisine & Co;1990;0;0;0;congelados
Zapallo Camote picado 500 g;Frutas Y Verduras Propias;1990;0;0;0;verduras
Zapallo en Cubos 500 g;Frutas Y Verduras Propias;1990;0;0;0;verduras
Jabón líquido blanco 750 ml;Simond'S;1989;0;0;0;belleza-y-cuidado-personal
Margarina con sal 500 g;Qualy;1989;0;0;0;lacteos
Margarina canola pote 400 g;Cuisine & Co;1989;0;0;0;lacteos
Toallas higiénicas Naturella Ultra con manzanilla 14 un,;Naturella;1979;0;0;0;belleza-y-cuidado-personal
Leche culivada vainilla 1 L;Soprole;1979;0;0;0;lacteos
Nuggets de pollo Ready 400 g;Cuisine & Co;1959;0;0;0;congelados
Choclo 500 g;Minuto Verde;1959;0;0;0;congelados
Primavera de verduras bolsa 500 g;Minuto Verde;1959;0;0;0;congelados
Arvejas 500 g;Minuto Verde;1959;0;0;0;congelados
Ensalada jardinera congelado 500 g;Minuto Verde;1959;0;0;0;congelados
Ensalada Jardinera 500 g;Frutos Del Maipo;1959;0;0;0;congelados
Tomate larga vida malla 1 kg;Frutas Y Verduras Propias;1950;0;0;0;verduras
Leche Break sin lactosa cappuccino 1 L;Loncoleche;1929;0;0;0;lacteos
Leche Break sin lactosa chocolate y avellana 1 L;Loncoleche;1929;0;0;0;lacteos
Cepillo dental Limpieza Profunda 2 un,;Oral-B;1899;0;0;0;belleza-y-cuidado-personal
Pasta dental anticaries NeutrAzúcar 90 g;Colgate;1890;0;0;0;belleza-y-cuidado-personal
Mandarina malla 1 kg;Frutas Y Verduras Propias;1890;0;0;0;frutas
Yoghurt light Colun sin lactosa chirimoya 1 kg;Colun;1889;0;0;0;lacteos
Margarina light 500 g;Calo;1889;0;0;0;lacteos
Yoghurt light Colun sin lactosa frutilla 1 kg;Colun;1889;0;0;0;lacteos
Yoghurt batido Loncoleche sin lactosa vainilla bolsa 900 g;Loncoleche;1879;0;0;0;lacteos
Yogurt sin lactosa frutilla 900 g;Loncoleche;1879;0;0;0;lacteos
