title;Marca;Preco_Normal;Preco_Desconto;Preco_Anterior;Desconto;Categoria
Crema de choclo 79 g;Santa Isabel;319;0;0;0;instantaneos-y-sopas
Jalea Nestlé Frambuesa 110g;Nestlé;315;0;0;0;lacteos
Yoghurt light sin lactosa sabor chirimoya 125 g;Colun;315;0;0;0;lacteos
Jalea Nestlé Piña 110g;Nestlé;315;0;0;0;lacteos
Flan Colun Vainilla 100 g;Colun;315;0;0;0;lacteos
Yoghurt batido sin lactosa frutilla 125 g;Colun;315;0;0;0;lacteos
Jalea Nestlé Guinda 110g;Nestlé;315;0;0;0;lacteos
Flan manjar Colun 100 g;Colun;315;0;0;0;lacteos
Flan Colun sabor chocolate 100 g;Colun;315;0;0;0;lacteos
Jalea Nestlé Naranja 110g;Nestlé;315;0;0;0;lacteos
Yoghurt batido sin lactosa vainilla 120 g;Soprole;309;0;0;0;lacteos
Yoghurt batido sin lactosa chirimoya 120 g;Zerolacto;309;0;0;0;lacteos
Yoghurt sin azúcar frutilla 120 g;Soprole;305;0;0;0;lacteos
Yoghurt sin azúcar vainilla 120 g;Soprole;305;0;0;0;lacteos
Yoghurt sin azúcar durazno 120 g;Soprole;305;0;0;0;lacteos
Yoghurt batido light frutilla 125 g;Colun;275;0;0;0;lacteos
Yoghurt batido light vainilla 125 g;Colun;275;0;0;0;lacteos
Yoghurt batido light frambuesa 125 g;Colun;275;0;0;0;lacteos
Yoghurt batido light damasco 125 g;Colun;275;0;0;0;lacteos
Yoghurt batido light natural endulzado 125 g;Colun;275;0;0;0;lacteos
Petit suisse Chiquitín Frutilla 45g;Nestlé;269;0;0;0;lacteos
Petit suisse Chiquitín Plátano 45g;Nestlé;269;0;0;0;lacteos
Petit suisse Chiquitín Damasco 45g;Nestlé;269;0;0;0;lacteos
Jalea frambuesa 100 g;Colun;245;0;0;0;lacteos
Jalea limón 100 g;Colun;245;0;0;0;lacteos
Jalea guinda 100 g;Colun;245;0;0;0;lacteos
Yoghurt batido frutilla 125 g;Colun;245;0;0;0;lacteos
Yoghurt batido vainilla 125 g;Colun;245;0;0;0;lacteos
Yoghurt batido mora 125 g;Colun;245;0;0;0;lacteos
Yoghurt batido Colun damasco 125 g;Colun;245;0;0;0;lacteos
Yoghurt batido frambuesa 125 g;Colun;245;0;0;0;lacteos
Yoghurt Batido Chamyto Probióticos Frutilla 115g;Chamyto;245;0;0;0;lacteos
Yoghurt Batido Chamyto Probióticos Vainilla 115g;Chamyto;245;0;0;0;lacteos
Yoghurt batido sabor frutilla 120 g;Soprole;229;0;0;0;lacteos
Yoghurt batido sabor damasco 120 g;Soprole;229;0;0;0;lacteos
Yoghurt batido sabor frambuesa 120 g;Soprole;229;0;0;0;lacteos
Yoghurt batido semidescremado vainilla 120 g;Calan;209;0;0;0;lacteos
Yoghurt batido semidescremado frutilla 120 g;Calan;209;0;0;0;lacteos
Yoghurt batido semidescremado chirimoya 120 g;Calan;209;0;0;0;lacteos
Pañal adulto Pants G-XG 16 un,;Cotidian;0;13899;0;0;belleza-y-cuidado-personal
Pañal adulto Pants P-M 16 un,;Cotidian;0;13899;0;0;belleza-y-cuidado-personal
Pizza americana pepperoni congelada 660 g;Cuisine & Co;0;5990;0;0;comidas-preparadas
Pizza americana deluxe congelada 660 g;Cuisine & Co;0;5990;0;0;comidas-preparadas
Pizza americana congelada veggies 745 g;Cuisine & Co;0;5990;0;0;comidas-preparadas
Shampoo Herbolaria 400 ml;Tío Nacho;0;4990;0;0;belleza-y-cuidado-personal
Shampoo aclarante doypack 400 ml;Tío Nacho;0;4990;0;0;belleza-y-cuidado-personal
Shampoo Classic Smooth 400 ml;Herbal Essences;0;4599;0;0;belleza-y-cuidado-personal
Acondicionador Smooth Rose Hips 400 ml;Herbal Essences;0;4599;0;0;belleza-y-cuidado-personal
Shampoo Classic Shine 400 ml;Herbal Essences;0;4599;0;0;belleza-y-cuidado-personal
Helado vegetal multipack 4 un, Croca choco 70 g;Not Ice Cream;0;4390;0;0;congelados
Helado vegetal multipack vainilla y caramelo 260 g;Not Ice Cream;0;4390;0;0;congelados
Helado vegetal multipack crema frambuesa 272 g;Not Ice Cream;0;4390;0;0;congelados
Shampoo + Acondicionador bomba variedades 340 ml c/u;Sedal;0;4290;0;0;belleza-y-cuidado-personal
Helado vegetal chocolate avellana 296 g;Not Ice Cream;0;4180;0;0;congelados
Helado vegetal cookies & cream 284 g;Not Ice Cream;0;4180;0;0;congelados
Helado vegetal cheesecake 298 g;Not Ice Cream;0;4180;0;0;congelados
Acondicionador Reparación Total 5 370 ml;Elvive;0;3989;0;0;belleza-y-cuidado-personal
Shampoo Hidra Hialurónico 370 ml;Elvive;0;3699;0;0;belleza-y-cuidado-personal
Shampoo Reparación Total 5 370 ml;Elvive;0;3699;0;0;belleza-y-cuidado-personal
Desodorante Aerosol Invisible Dry 150 ml;Dove Men;0;3459;0;0;belleza-y-cuidado-personal
Desodorante Go Fresh pepino spray 150 ml;Dove;0;3459;0;0;belleza-y-cuidado-personal
Desodorante Invisible Dry spray 150 ml;Dove;0;3459;0;0;belleza-y-cuidado-personal
Desodorante barra aclarado Natural Classic Touch 43 g;Nivea;0;3199;0;0;belleza-y-cuidado-personal
Desodorante spray Pro 5 1 91 g;Lady Speed Stick;0;2990;0;0;belleza-y-cuidado-personal
Shampoo Vitaminados Frescura 350 ml;Fructis;0;2989;0;0;belleza-y-cuidado-personal
Shampoo Aloe Hidra Bomb 350 ml;Fructis;0;2989;0;0;belleza-y-cuidado-personal
Acondicionador Aloe Hidra Bomb 350 ml;Fructis;0;2989;0;0;belleza-y-cuidado-personal
Acondicionador Oil Repair Liso Coco 350 ml;Fructis;0;2989;0;0;belleza-y-cuidado-personal
Shampoo Vitaminados Brillo 350 ml;Fructis;0;2989;0;0;belleza-y-cuidado-personal
Shampoo Rizos Definidos 340 ml;Sedal;0;2899;0;0;belleza-y-cuidado-personal
Desodorante Black & White máxima protección 50 ml;Nivea;0;2890;0;0;belleza-y-cuidado-personal
Desodorante Black & White máxima protección 150 ml;Nivea;0;2890;0;0;belleza-y-cuidado-personal
Shampoo liso 600 ml;Vanart;0;2690;0;0;belleza-y-cuidado-personal
Acondicionador anti esponjado 600 ml;Vanart;0;2690;0;0;belleza-y-cuidado-personal
Shampoo anti esponjado 600 ml;Vanart;0;2690;0;0;belleza-y-cuidado-personal
Desodorante spray invisible Black & White 150 ml;Nivea;0;2669;0;0;belleza-y-cuidado-personal
Desodorante spray Stress Protect 150 ml;Nivea For Men;0;2669;0;0;belleza-y-cuidado-personal
Desodorante spray Fresh ice 150 ml;Nivea;0;2669;0;0;belleza-y-cuidado-personal
Shampoo Oil Repair Liso Coco 350 ml;Fructis;0;2599;0;0;belleza-y-cuidado-personal
Toallas higiénicas Kotex nocturna Ultrafina tela suave con alas 15 un,;Kotex;0;2590;0;0;belleza-y-cuidado-personal
Crema Tratamiento Oil Repair 3 aceites 300 g;Fructis;0;2499;0;0;belleza-y-cuidado-personal
Crema para peinar Rizos Definidos 300 ml;Sedal;0;2490;0;0;belleza-y-cuidado-personal
Jabón humectante barra 90 g 3 un,;Elite;0;2390;0;0;belleza-y-cuidado-personal
Jabón líquido humectante 700 ml;Elite;0;2390;0;0;belleza-y-cuidado-personal
Saborizante para Leche Nestlé cacao endulzado 230g;Nestlé;0;2249;0;0;lacteos
Jabon líquido 700 ml;Elite;0;2099;0;0;belleza-y-cuidado-personal
Leche cultivada light chirimoya 1 L;Next;0;1999;0;0;lacteos
Leche cultivada light frambuesa 1 L;Next;0;1999;0;0;lacteos
Leche cultivada light frutilla 1 L;Next;0;1999;0;0;lacteos
Protectores protección largos 20 40 Un,;Carefree;0;1970;0;0;belleza-y-cuidado-personal
Yoghurt batido frutilla 1 kg;Colun;0;1589;0;0;lacteos
Yoghurt batido vainilla 1 kg;Colun;0;1589;0;0;lacteos
Yoghurt batido Colun damasco 1 kg;Colun;0;1589;0;0;lacteos
Yoghurt Batido Colun Frambuesa 1 kg;Colun;0;1589;0;0;lacteos
Yoghurt batido mora 1 kg;Colun;0;1589;0;0;lacteos
Leche semidescremada chocolate 1 L;Soprole;0;1519;0;0;lacteos
Leche semidescremada frutilla 1 L;Soprole;0;1519;0;0;lacteos
Leche receta original chocolate 1 L;Soprole;0;1519;0;0;lacteos
Leche semidescremada chocolate blanco 1 L;Soprole;0;1519;0;0;lacteos
Yoghurt trozos frutos secos y fruta 165 g;Soprole;0;725;0;0;lacteos
Yoghurt trozos chocolate y almendras 165 g;Soprole;0;725;0;0;lacteos
Yoghurt trozos lúcuma y nueces 165 g;Soprole;0;725;0;0;lacteos
Yoghurt trozos nueces y cranberries 165 g;Soprole;0;725;0;0;lacteos
Postre Chandelle sin lactosa manjar 130 g;Nestlé;0;719;0;0;lacteos
Postre Chandelle Crema sabor chocolate 130g;Nestlé;0;679;0;0;lacteos
Postre Chandelle Crema manjar 130g;Nestlé;0;679;0;0;lacteos
Postre Chandelle Crema sabor lúcuma 130g;Nestlé;0;679;0;0;lacteos
Yoghurt proteína trozos frutilla 155 g;Soprole;0;675;0;0;lacteos
Yoghurt proteína trozos frambuesa 155 g;Soprole;0;675;0;0;lacteos
Yoghurt proteína trozos mango maracuyá 155 g;Soprole;0;675;0;0;lacteos
Yoghurt con cereal Zucaritas 140 g;Soprole;0;615;0;0;lacteos
