title;Marca;Preco_Normal;Preco_Desconto;Preco_Anterior;Desconto;Categoria
Cepillo dental doble acción 6N 2 un,;Duralón;1699;0;0;0;belleza-y-cuidado-personal
Poroto verde corte francés 350 g;Minuto Verde;1690;0;0;0;congelados
Pop corn pollo 300 g;Super Pollo;1690;0;0;0;congelados
Yoghurt batido sin lactosa frutilla 1 kg;Soprole;1690;0;0;0;lacteos
Yoghurt batido sin lactosa chirimoya 1 kg;Soprole;1690;0;0;0;lacteos
Limón cocktail malla 500 g;Frutas Y Verduras Propias;1690;0;0;0;frutas
Lechuga escarola bandeja 2 un,;Frutas Y Verduras Propias;1690;0;0;0;verduras
Zapallo camote un,;Frutas Y Verduras Propias;1690;0;0;0;verduras
Yoghurt batido light frutilla 1 kg;Colun;1689;0;0;0;lacteos
Yoghurt batido light vainilla 1 kg;Colun;1689;0;0;0;lacteos
Berro hidropónico 200 g;Frutas Y Verduras Propias;1670;0;0;0;verduras
Shampoo Manzana y Papaya 750 ml;Familand;1659;0;0;0;belleza-y-cuidado-personal
Shampoo Quillay y Ortiga 750 ml;Familand;1659;0;0;0;belleza-y-cuidado-personal
Acondicionador Leche de Coco 750 ml;Familand;1659;0;0;0;belleza-y-cuidado-personal
Shampoo Granada Uva 750 ml;Familand;1659;0;0;0;belleza-y-cuidado-personal
Shampoo Leche de Coco 750 ml;Familand;1659;0;0;0;belleza-y-cuidado-personal
Shampoo Arándano y Uva 750 ml;Familand;1659;0;0;0;belleza-y-cuidado-personal
Acondicionador Granada Uva 750 ml;Familand;1659;0;0;0;belleza-y-cuidado-personal
Acondicionador Manzanilla 750 ml;Familand;1659;0;0;0;belleza-y-cuidado-personal
Acondicionador Manzana y Papaya 750 ml;Familand;1659;0;0;0;belleza-y-cuidado-personal
Shampoo cherry cerezo 750 ml;Familand;1659;0;0;0;belleza-y-cuidado-personal
Shampoo Familand bambú cannabis 750 ml;Familand;1659;0;0;0;belleza-y-cuidado-personal
Bálsamo cherry cerezo 750 ml;Familand;1659;0;0;0;belleza-y-cuidado-personal
Hamburguesa americana 185 g;Receta Del Abuelo;1659;0;0;0;congelados
Habas congeladas 500 g;Cuisine & Co;1650;0;0;0;congelados
Leche semidescremada Loncoleche sin lactosa chocolate 1 L;Loncoleche;1639;0;0;0;lacteos
Leche sin lactosa frutilla 1 L;Loncoleche;1639;0;0;0;lacteos
Leche descremada sin lactosa Loncoleche extra calcio 1 L;Loncoleche;1639;0;0;0;lacteos
Leche sin lactosa light chocolate 1 L;Loncoleche;1639;0;0;0;lacteos
Choclo en trozos 350 g;Frutos Del Maipo;1619;0;0;0;congelados
Varitas de algodón Baby Tips 200 un,;Babyland;1599;0;0;0;belleza-y-cuidado-personal
Jabón en barra Afrecho 100 g;Trianon;1595;0;0;0;belleza-y-cuidado-personal
Shampoo ondas y rizos 750 ml;Ballerina;1590;0;0;0;belleza-y-cuidado-personal
Bálsamo ondas y rizos 750 ml;Ballerina;1590;0;0;0;belleza-y-cuidado-personal
Manzana verde exportación bolsa 1 kg;Frutas Y Verduras Propias;1590;0;0;0;frutas
Champiñón bandeja 200 g;Frutas Y Verduras Propias;1590;0;0;0;verduras
Limón malla 1 kg;Frutas Y Verduras Propias;1590;0;0;0;verduras
Cebolla morada 1 kg;Frutas Y Verduras Propias;1590;0;0;0;verduras
Pimiento rojo extra;Frutas Y Verduras Propias;1590;0;0;0;verduras
Espinacas 200 g;Agrosano;1590;0;0;0;verduras
Pimiento amarillo un,;Frutas Y Verduras Propias;1590;0;0;0;verduras
Leche descremada light Loncoleche sabor chocolate 1 L;Loncoleche;1589;0;0;0;lacteos
Toallas higiénicas Always Seca Noche ultrafina 8 un,;Always;1579;0;0;0;belleza-y-cuidado-personal
Zapallo en cubos 500 g;Minuto Verde;1570;0;0;0;congelados
Rúcula Bolsa 200 g;Frutas Y Verduras Propias;1570;0;0;0;verduras
Jabón Giselle líquido suavidad 750 ml;Giselle;1569;0;0;0;belleza-y-cuidado-personal
Churrasco de vacuno congelado 120 g;Cuisine & Co;1560;0;0;0;congelados
Shampoo manzanilla 750 ml;Ballerina;1559;0;0;0;belleza-y-cuidado-personal
Bálsamo largo increible 750 ml;Ballerina;1559;0;0;0;belleza-y-cuidado-personal
Shampoo granada sin sal 750 ml;Ballerina;1559;0;0;0;belleza-y-cuidado-personal
Shampoo largo increíble 750 ml;Ballerina;1559;0;0;0;belleza-y-cuidado-personal
Acondicionador manzanilla 750 ml;Ballerina;1559;0;0;0;belleza-y-cuidado-personal
Puré de Papas Maggi 250g;Maggi;1559;0;0;0;instantaneos-y-sopas
Ensalada rusa congelada 500 g;Cuisine & Co;1550;0;0;0;congelados
Jabón líquido Dermo Care avena doypack 750 ml;Simond'S;1549;0;0;0;belleza-y-cuidado-personal
Jabón Dermo Care Hygienic 750 ml;Simond'S;1549;0;0;0;belleza-y-cuidado-personal
Shampoo carbón frasco 750 ml;Ballerina;1530;0;0;0;belleza-y-cuidado-personal
Bálsamo carbón frasco 750 ml;Ballerina;1530;0;0;0;belleza-y-cuidado-personal
Hamburguesa de vacuno 150 g;La Crianza;1519;0;0;0;congelados
Pack sopas y cremas 3 un,;Maggi;1499;0;0;0;instantaneos-y-sopas
Kiwi granel;Frutas Y Verduras Propias;1495;0;0;0;frutas
Protector diario Kotex tela 40 un,;Kotex;1490;0;0;0;belleza-y-cuidado-personal
Choclo en grano congelado 500 g;Cuisine & Co;1490;0;0;0;congelados
Arvejas congeladas 500 g;Cuisine & Co;1490;0;0;0;congelados
Mix primavera congelada 500 g;Cuisine & Co;1490;0;0;0;congelados
Pera bolsa 1 kg;Frutas Y Verduras Propias;1490;0;0;0;frutas
Tomate cocktail pote 250 g;Frutas Y Verduras Propias;1490;0;0;0;verduras
Leche semidescremada plátano 1 L;Loncoleche;1489;0;0;0;lacteos
Leche semidescremada Loncoleche sabor chocolate 1 L;Loncoleche;1489;0;0;0;lacteos
Yoghurt batido frutilla 1 kg;Soprole;1469;0;0;0;lacteos
Yoghurt batido damasco 1 kg;Soprole;1469;0;0;0;lacteos
Yoghurt batido vainilla 1 kg;Soprole;1469;0;0;0;lacteos
Leche semidescremada frutilla 1 L;Colun;1449;0;0;0;lacteos
Leche semidescremada sin lactosa chocolate 1 L;Soprole;1449;0;0;0;lacteos
Leche semidescremada sabor vainilla 1 L;Colun;1449;0;0;0;lacteos
Leche semidescremada sabor manjar 1 L;Colun;1449;0;0;0;lacteos
Puré de papas instantáneo tradicional 250 g;Alcafood;1449;0;0;0;instantaneos-y-sopas
Hielo whisky bolsa 2 kg;Rock;1439;0;0;0;congelados
Hielo 2 kg;Fiesta;1439;0;0;0;congelados
Leche semidescremada sabor chocolate 1 L;Colun;1439;0;0;0;lacteos
Leche semidescremada chocolate Receta original 1 L;Colun;1439;0;0;0;lacteos
Puré de papas con leche 8 porciones caja 250 g;Hoffmann;1439;0;0;0;instantaneos-y-sopas
Puré de papas instantáneo 250 g;Cuisine & Co;1439;0;0;0;instantaneos-y-sopas
Hamburguesa de vacuno congelada 185 g;Cuisine & Co;1429;0;0;0;congelados
Pasta dental Kids Fresantástico 50 g;Colgate;1399;0;0;0;belleza-y-cuidado-personal
Jabón líquido karité 500 ml;Ballerina;1390;0;0;0;belleza-y-cuidado-personal
Albahaca un,;Jumbo;1390;0;0;0;verduras
Lechuga Hidropónica Roble Verde;Frutas Y Verduras Propias;1390;0;0;0;verduras
Lechuga lollo bionda hidropónica un,;Frutas Y Verduras Propias;1390;0;0;0;verduras
Repollo morado film unid;Frutas Y Verduras Propias;1390;0;0;0;verduras
Margarina Deline pote 500 g;Deline;1389;0;0;0;lacteos
Leche Protein Full Pro vainilla 250 ml;Loncoleche;1389;0;0;0;lacteos
Protectores diarios largos 30 un,;Nosotras;1379;0;0;0;belleza-y-cuidado-personal
Repollo unid;Frutas Y Verduras Propias;1350;0;0;0;verduras
Hamburguesa de vacuno light 150 g;La Crianza;1340;0;0;0;congelados
Toallas higiénicas Nosotras Buenas Noches normal 8 un,;Nosotras;1339;0;0;0;belleza-y-cuidado-personal
Protectores diarios Ladysoft largos suaves 30 un,;Ladysoft;1339;0;0;0;belleza-y-cuidado-personal
Toallas higiénicas Nosotras Sensitiv ultra invisible 8 un,;Nosotras;1339;0;0;0;belleza-y-cuidado-personal
Manteca 200 g;Astra;1339;0;0;0;lacteos
Hielo campana 2 kg;Cuisine & Co;1329;0;0;0;congelados
Hamburguesa de Vacuno King 185 g;King;1329;0;0;0;congelados
Hamburguesa americana de vacuno 120 g;La Crianza;1329;0;0;0;congelados
Manteca 200 g;Crucina;1329;0;0;0;lacteos
Toallas higiénicas Nosotras Ultra Invisible malla 10 un,;Nosotras;1319;0;0;0;belleza-y-cuidado-personal
Not Burger Chicken 100 g;Not Chicken;1299;0;0;0;congelados
Hamburguesa de pollo 150 g;La Crianza;1299;0;0;0;congelados
Mantequilla con sal 125 g;Soprole;1299;0;0;0;lacteos
Jengibre 100 g;Frutas Y Verduras Propias;1299;0;0;0;verduras
Toallitas desmaquillantes Sensitive 30 un,;Family Care;1290;0;0;0;belleza-y-cuidado-personal
Betarragas 5 un,;Frutas Y Verduras Propias;1290;0;0;0;verduras
Leche chocolate 1 L;Cuisine & Co;1279;0;0;0;lacteos
