title;Marca;Preco_Normal;Preco_Desconto;Preco_Anterior;Desconto;Categoria
Helado La Cremería Plátano Manjar 1L;Savory;4819;0;0;0;congelados
Papas Duquesas 1 kg;Minuto Verde;4790;0;0;0;congelados
Pasta fresca girasoli ricotta espinaca Rana 250 g;Rana;4790;0;0;0;comidas-preparadas
Pasta fresca ravioli 4 quesos Rana 250 g;Rana;4790;0;0;0;comidas-preparadas
Talco para pies 220 g + talco 80 g;Brooks;4769;0;0;0;belleza-y-cuidado-personal
Frambuesa congelada 400 g;Cuisine & Co;4759;0;0;0;congelados
Puré de papas instantáneo tradicional 1 kg;Alcafood;4699;0;0;0;instantaneos-y-sopas
Palta hass extra malla 1 kg;Frutas Y Verduras Propias;4690;0;0;0;verduras
Hel multipack 0% azúcar choco vainilla 5 un, 70 g;San Francisco De Loncomilla;4669;0;0;0;congelados
Pack paleta helado choco nuss 5 un, 80 g c/u;San Francisco De Loncomilla;4669;0;0;0;congelados
Lasagna mix de quesos 600 g;Sadia;4649;0;0;0;comidas-preparadas
Papas Pre fritas 1 kg;Minuto Verde;4590;0;0;0;congelados
Pizza Italia Roma 500 g;Cuisine & Co;4590;0;0;0;comidas-preparadas
Pizza Italia Sicilia 490 g;Cuisine & Co;4590;0;0;0;comidas-preparadas
Puré de papas instantáneo 800 g;Cuisine & Co;4569;0;0;0;instantaneos-y-sopas
Barra de fruta frambuesa 8 x 55 g c/u;Guallarauco;4549;0;0;0;congelados
Barra de fruta naranja frutilla 8 x 55 g c/u;Guallarauco;4549;0;0;0;congelados
Pasta dental Max White crystal mint 3 un, 75 ml;Colgate;4499;0;0;0;belleza-y-cuidado-personal
Helado multipack Flipy 600 ml;Bresler;4499;0;0;0;congelados
Filetitos de pollo 400 g;La Crianza;4490;0;0;0;congelados
Desodorante masculino fresh barra 50 g 2 un,;Old Spice;4459;0;0;0;belleza-y-cuidado-personal
Huevos extra grandes color bandeja 20 un,;Cuisine & Co;4459;0;0;0;lacteos
Falafel tradicional 400 g;Tivoni;4450;0;0;0;congelados
Colonia Splash 1 L;Bellekiss;4349;0;0;0;belleza-y-cuidado-personal
Pack hilo dental 2 un, 50 m c/u;Colgate;4290;0;0;0;belleza-y-cuidado-personal
Pizza mediterránea 445 g;Cuisine & Co;4190;0;0;0;comidas-preparadas
Pizza pepperoni 445 g;Cuisine & Co;4190;0;0;0;comidas-preparadas
Pizza tocino 445 g;Cuisine & Co;4190;0;0;0;comidas-preparadas
Ñoquis Capresse 400 g;Cuisine & Co;4190;0;0;0;comidas-preparadas
Huevos extra grandes blancos bandeja 20 un,;Cuisine & Co;4169;0;0;0;lacteos
Shampoo manzana fresh 375 ml;Head & Shoulders;4159;0;0;0;belleza-y-cuidado-personal
Shampoo Protección Caída con cafeína 375 ml;Head & Shoulders;4159;0;0;0;belleza-y-cuidado-personal
Shampoo Control Grasa 375 ml;Head & Shoulders;4159;0;0;0;belleza-y-cuidado-personal
Papas Duquesas 1 kg;Frutos Del Maipo;4159;0;0;0;congelados
Papas prefritas 1 Kg;Frutos Del Maipo;4159;0;0;0;congelados
Pack 12 un, Probiótico defensas sabor multifruta 80 ml;Soprole;4049;0;0;0;lacteos
Pack 12 un, Probiótico defensas sabor frutilla 80 ml;Soprole;4049;0;0;0;lacteos
Shampoo anticaspa pelo graso 2 un, 350 ml c/u;Linic;3999;0;0;0;belleza-y-cuidado-personal
Shampoo Colorvive Purple 200 ml;Elvive;3999;0;0;0;belleza-y-cuidado-personal
Gel Style Tarro Extra Fuerte 600 g;Fructis;3999;0;0;0;belleza-y-cuidado-personal
Cepillo dental 7 Beneficios 2 un,;Oral-B;3999;0;0;0;belleza-y-cuidado-personal
Chocolate en polvo 800 g;Base Culinar;3999;0;0;0;lacteos
Pasta de choclo 1 kg;Minuto Verde;3990;0;0;0;congelados
Choclo trozo 680 g;Minuto Verde;3990;0;0;0;congelados
Chicken Fingers Rebozados Sadia 480 g;Sadia;3990;0;0;0;congelados
Palta hass malla 1 kg;Frutas Y Verduras Propias;3990;0;0;0;verduras
Shampoo Color Vive 370 ml;Elvive;3989;0;0;0;belleza-y-cuidado-personal
Acondicionador Dream Long 370 ml;Elvive;3989;0;0;0;belleza-y-cuidado-personal
Shampoo Dream Long 370 ml;Elvive;3989;0;0;0;belleza-y-cuidado-personal
Pizza listo congelada jamón queso 465 g;PF;3980;0;0;0;comidas-preparadas
Pizza Listo congelada pepperoni 430 g;PF;3980;0;0;0;comidas-preparadas
Bebida láctea Chamyto multipack frutilla 12 un, 80 ml;Nestlé;3929;0;0;0;lacteos
