title;Marca;Preco_Normal;Preco_Desconto;Preco_Anterior;Desconto;Categoria
Yoghurt con cereal Choco Krispis 140 g;1+1 Soprole;0;615;0;0;lacteos
Yoghurt con mini galletas 140 g;Soprole;0;615;0;0;lacteos
Yoghurt trozos frutilla 165 g;Soprole;0;615;0;0;lacteos
Yoghurt trozos durazno 165 g;Soprole;0;615;0;0;lacteos
Yoghurt trozos manzana pera 165 g;Soprole;0;615;0;0;lacteos
Sémola con leche y salsa de caramelo 140 g;Soprole;0;605;0;0;lacteos
Sémola con leche y salsa de frambuesa 140 g;Soprole;0;605;0;0;lacteos
Sémola con leche y salsa de damasco 140 g;Soprole;0;605;0;0;lacteos
Toallas higiénicas Ladysoft básicas sin alas 8 un,;Ladysoft;0;590;0;0;belleza-y-cuidado-personal
Yoghurt Protein Plus frutilla-plátano 150 g;Colun;0;589;0;0;lacteos
Yoghurt Protein Plus frutilla 150 g;Colun;0;589;0;0;lacteos
Yoghurt Protein Plus vainilla 150 g;Colun;0;589;0;0;lacteos
Yoghurt + Cereal Nestlé Chocapic 142g;Nestlé;0;565;0;0;lacteos
Yoghurt + cereal Nestlé Trix 142g;Nestlé;0;565;0;0;lacteos
Yoghurt vegetal soya trozos mango maracuyá 140 g;Loncoleche;0;515;0;0;lacteos
Yoghurt vegetal almendra natural endulzado 140 g;Loncoleche;0;515;0;0;lacteos
Yoghurt vegetal soya trozos frutilla 140 g;Loncoleche;0;515;0;0;lacteos
Postre del sur chocolate 95 g;Colun;0;495;0;0;lacteos
Postre del sur tres leches 95 g;Colun;0;495;0;0;lacteos
Postre del sur manjar 95 g;Colun;0;495;0;0;lacteos
Yoghurt griego light frutilla 120 g;Colun;0;495;0;0;lacteos
Leche semidescremada Loncoleche sabor chocolate 200 ml;Loncoleche;0;485;0;0;lacteos
Leche semidescremada sin lactosa Loncoleche chocolate 200 ml;Loncoleche;0;485;0;0;lacteos
Leche semidescremada sin lactosa Loncoleche 200 ml;Loncoleche;0;485;0;0;lacteos
Leche vainilla 200 ml;Loncoleche;0;485;0;0;lacteos
Yoghurt 1+1 de 155 g;Soprole;0;469;0;0;lacteos
Crema Maggi de Espárragos 68g;Maggi;0;459;0;0;instantaneos-y-sopas
Sopa Maggi sabor Pollo con Arroz 70g;Maggi;0;459;0;0;instantaneos-y-sopas
Sopa Maggi sabor Costilla con Fideos 60g;Maggi;0;459;0;0;instantaneos-y-sopas
Sopa Maggi Pollo con Sémola 68g;Maggi;0;459;0;0;instantaneos-y-sopas
Crema Maggi Choclo 79g;Maggi;0;459;0;0;instantaneos-y-sopas
Crema Maggi de Tomates 78g;Maggi;0;459;0;0;instantaneos-y-sopas
Crema Maggi Zapallo 54g 4 porciones;Maggi;0;459;0;0;instantaneos-y-sopas
Crema Maggi Lentejas sabor Longaniza 63g 5 porciones;Maggi;0;459;0;0;instantaneos-y-sopas
Yoghurt trozo triple zero chía frutilla 120 g;Activia;0;445;0;0;lacteos
Sopa caracolitos Gourmet 74 g;Gourmet;0;439;0;0;instantaneos-y-sopas
Sopa pollo con fideos Gourmet 70 g;Gourmet;0;439;0;0;instantaneos-y-sopas
Sopa costilla con fideos Gourmet 62 g;Gourmet;0;439;0;0;instantaneos-y-sopas
Yoghurt batido natural 155 g;Soprole;0;369;0;0;lacteos
Sopa para Uno Maggi Pollo Merkén 16g;Maggi;0;369;0;0;instantaneos-y-sopas
Sopa para Uno Maggi Pollo Fideo 16g;Maggi;0;369;0;0;instantaneos-y-sopas
Sopa para Uno Maggi Lentejas 16g;Maggi;0;369;0;0;instantaneos-y-sopas
Sopa para Uno Maggi Costillas Fideos 16g;Maggi;0;369;0;0;instantaneos-y-sopas
Flan vainilla con salsa de caramelo 120 g;Soprole;0;345;0;0;lacteos
Flan de caramelo Postres de la Abuela 120 g;Soprole;0;345;0;0;lacteos
Jalea frambuesa 110 g;Soprole;0;335;0;0;lacteos
Jalea guinda 110 g;Soprole;0;335;0;0;lacteos
Yoghurt Batido Light Danone Frutilla 115 g;Light & Free;0;279;0;0;lacteos
Yoghurt Batido Light Danone Natural con Endulzante 115 g;Light & Free;0;279;0;0;lacteos
Yoghurt light batido Danone arándano 115 g;Danone;0;279;0;0;lacteos
Sopa para Uno Maggi Espárragos 14g;Maggi;0;239;0;0;instantaneos-y-sopas
Yoghurt Batido Nestlé Vainilla 115g;Nestlé;0;215;0;0;lacteos
Yoghurt Batido Nestlé Damasco 115g;Nestlé;0;215;0;0;lacteos
Yoghurt Batido Nestlé Frambuesa 115g;Nestlé;0;215;0;0;lacteos
Shampoo 400 ml + Acondicionador Regeneración Extrema 400 ml;Dove;0;0;0;0;belleza-y-cuidado-personal
Pétalos desmaquilladores;Family Care;0;0;0;0;belleza-y-cuidado-personal
Shampoo Limpieza Renovadora 375 ml;Head & Shoulders;0;0;0;0;belleza-y-cuidado-personal
Desodorante barra Xtreme Tech Ultra 50 g;Speed Stick;0;0;0;0;belleza-y-cuidado-personal
Desodorante Original spray 150 ml;Dove;0;0;0;0;belleza-y-cuidado-personal
Shampoo Anticaspa + Acondicionador Caspa Control 400 ml;Dove Men;0;0;0;0;belleza-y-cuidado-personal
Shampoo Essences agua de coco jazmín 400 ml;Herbal;0;0;0;0;belleza-y-cuidado-personal
Pasta dental Sensibilidad & Encías Blanqueador 100 g;Sensodyne;0;0;0;0;belleza-y-cuidado-personal
Toallas higiénicas Kotex normal con alas 32 un,;Kotex;0;0;0;0;belleza-y-cuidado-personal
Acondicionador Color Vive 370 ml;Elvive;0;0;0;0;belleza-y-cuidado-personal
Pack 2 un, Shampoo limpieza renovadora 375 ml;Head & Shoulders;0;0;0;0;belleza-y-cuidado-personal
Nuggets de pollo congelado bolsa 400 g;Super Pollo;0;0;0;0;congelados
Papas pre fritas 1 kg;Cuisine & Co;0;0;0;0;congelados
Nuggets de pollo congelado bolsa 400 g;Super Pollo;0;0;0;0;congelados
Hamburguesa de soya 100 g;La Crianza;0;0;0;0;congelados
Postre helado chocolate y vainilla con almendras caramelizadas 1 L;Carte Dor;0;0;0;0;congelados
Yoghurt Batido Nestlé Frutilla 115g;Nestlé;0;0;0;0;lacteos
Yoghurt semidescremado sin lactosa trozo berries 120 g;Loncoleche;0;0;0;0;lacteos
Huevos grandes blancos Cintazul 30 unid;Cintazul;0;0;0;0;lacteos
Leche en polvo descremada 350 g;Colun;0;0;0;0;lacteos
Huevos grandes color 12 un,;Cintazul;0;0;0;0;lacteos
