title;Marca;Preco_Normal;Preco_Desconto;Preco_Anterior;Desconto;Categoria
Zapallo italiano un,;Frutas Y Verduras Propias;690;0;0;0;verduras
Pepino ensalada un,;Frutas Y Verduras Propias;690;0;0;0;verduras
Caldo de carne 80 g;Cuisine & Co;689;0;0;0;instantaneos-y-sopas
Caldo gallina 80 g;Cuisine & Co;689;0;0;0;instantaneos-y-sopas
Caldo verduras 80 g;Cuisine & Co;689;0;0;0;instantaneos-y-sopas
Postre Sahne Nuss Mousse de chocolate 100g;Sahne Nuss;669;0;0;0;lacteos
Cilantro paquete 120 g;Frutas Y Verduras Propias;660;0;0;0;verduras
Croqueta de verduras 90 g;La Crianza;659;0;0;0;congelados
Yoghurt proteína mango maracuyá trozos 140 g;Loncoleche;655;0;0;0;lacteos
Yoghurt proteína berries trozos 140 g;Loncoleche;655;0;0;0;lacteos
Milanesa de soya 80 g;Mister Veggie;649;0;0;0;congelados
Caldo en polvo Maggi Verduras 35g (5x7g);Maggi;649;0;0;0;instantaneos-y-sopas
Caldo en polvo Maggi Gallina 35g (5x7g);Maggi;649;0;0;0;instantaneos-y-sopas
Caldo en polvo Maggi Carne 35g (5x7g);Maggi;649;0;0;0;instantaneos-y-sopas
Caldo en polvo Maggi Costilla 35g (5x7g);Maggi;649;0;0;0;instantaneos-y-sopas
Plátano granel;Frutas Y Verduras Propias;645;0;0;0;frutas
Plátano Barraganette granel;Frutas Y Verduras Propias;645;0;0;0;frutas
Crocante de Pollo Super Pollo 100 g;Super Pollo;619;0;0;0;congelados
Postre panna cotta salsa de frambuesa 120 g;Soprole;619;0;0;0;lacteos
Alimento de Avena Nestlé Veggie Probióticos Frutilla 140g;Nestlé;619;0;0;0;lacteos
Postre crème caramel 120 g;Soprole;619;0;0;0;lacteos
Postre panna cotta caluga 120 g;Soprole;619;0;0;0;lacteos
Alimento de Avena Nestlé Veggie Probióticos Natural 140g;Nestlé;619;0;0;0;lacteos
Yoghurt trozos piña 165 g;Soprole;615;0;0;0;lacteos
Postre Manjarate 80 g;Soprole;609;0;0;0;lacteos
Postre Manjarate White 80 g;Soprole;609;0;0;0;lacteos
Postre Manjarate Black 80 g;Soprole;609;0;0;0;lacteos
Yoghurt sin lactosa trozos frutilla 155 g;Soprole;605;0;0;0;lacteos
Hamburguesa de soya champiñón tomate Mr, Veggie 100 g;Mister Veggie;599;0;0;0;congelados
Yoghurt proteína con cereales 150 g;Soprole;599;0;0;0;lacteos
Cebolla granel;Frutas Y Verduras Propias;595;0;0;0;verduras
