title;Marca;Preco_Normal;Preco_Desconto;Preco_Anterior;Desconto;Categoria
Mantequilla con sal 125 g;Colun;1269;0;0;0;lacteos
Mantequilla con sal 125 g;Calo;1269;0;0;0;lacteos
Brocoli films un,;Frutas Y Verduras Propias;1250;0;0;0;verduras
Apio mata un,;Frutas Y Verduras Propias;1250;0;0;0;verduras
Cebolla malla 3 un,;Jumbo;1230;0;0;0;verduras
Cebolla Picada Minuto Verde 250 g;Minuto Verde;1199;0;0;0;congelados
Mango granel;Frutas Y Verduras Propias;1195;0;0;0;frutas
Hamburguesa Plant based 100 g;La Crianza;1190;0;0;0;congelados
Vegan Crispy 120 g;Receta Del Abuelo;1190;0;0;0;congelados
Mantequilla Los Alerces 125 g;Los Alerces;1189;0;0;0;lacteos
Leche descremada sin lactosa 1 L;Colun;1189;0;0;0;lacteos
Leche entera sin lactosa 1 L;Colun;1189;0;0;0;lacteos
Leche semidescremada sin lactosa 1 L;Colun;1189;0;0;0;lacteos
Yoghurt batido chirimoya 1 kg;Calan;1189;0;0;0;lacteos
Yoghurt batido frutilla 1 kg;Calan;1189;0;0;0;lacteos
Yoghurt batido vainilla 1 kg;Calan;1189;0;0;0;lacteos
Yoghurt griego natural 400 g;Quillayes;1189;0;0;0;lacteos
Toallas higiénicas Naturella Cuidado Nocturno XL 8 un,;Naturella;1179;0;0;0;belleza-y-cuidado-personal
Leche semidescremada sin lactosa Loncoleche 1 L;Loncoleche;1159;0;0;0;lacteos
Leche entera sin lactosa 1 L;Loncoleche;1159;0;0;0;lacteos
Leche descremada sin lactosa Loncoleche 1 L;Loncoleche;1159;0;0;0;lacteos
Jabón en barra natural 100 g;Trianon;1150;0;0;0;belleza-y-cuidado-personal
Pasta dental Kids Mickey 50 g;Oral-B;1139;0;0;0;belleza-y-cuidado-personal
Pasta dental Kids Minnie 50 g;Oral-B;1139;0;0;0;belleza-y-cuidado-personal
Cebolla malla 1 kg;Frutas Y Verduras Propias;1130;0;0;0;verduras
Hamburguesa de pollo 100 g;La Crianza;1129;0;0;0;congelados
Leche descremada sin lactosa 1 L;Soprole;1129;0;0;0;lacteos
Leche semidescremada sin lactosa 1 L;Soprole;1129;0;0;0;lacteos
Espinaca 500 g;Frutas Y Verduras Propias;1129;0;0;0;verduras
Lechuga escarola un,;Frutas Y Verduras Propias;1090;0;0;0;verduras
Leche descremada sin lactosa 1 L;Surlat;1089;0;0;0;lacteos
Leche semidescremada sin lactosa 1 L;Surlat;1089;0;0;0;lacteos
Leche entera sin lactosa 1 L;Surlat;1089;0;0;0;lacteos
Puré 125 g;Hoffmann;1079;0;0;0;instantaneos-y-sopas
Hamburguesa de vacuno 100 g;La Crianza;1059;0;0;0;congelados
Hamburguesa de vacuno light 100 g;La Crianza;1059;0;0;0;congelados
Hamburguesa de vacuno tocino 100 g;La Crianza;1059;0;0;0;congelados
Hamburguesa de pavo 100 g;La Crianza;1059;0;0;0;congelados
Tortilla de verdura 110 g;La Crianza;1059;0;0;0;congelados
Porotos verdes congelados 350 g;Cuisine & Co;1050;0;0;0;congelados
Mandarina granel;Frutas Y Verduras Propias;1045;0;0;0;frutas
Margarina light 250 g;Next;1039;0;0;0;lacteos
Pasta para uno bolognesa 70 g;Carozzi;1039;0;0;0;instantaneos-y-sopas
Sopa casera pantrucas 110 g;Naturezza;1019;0;0;0;instantaneos-y-sopas
Toallas higiénicas Naturella con manzanilla 8 un,;Naturella;999;0;0;0;belleza-y-cuidado-personal
Toallas higiénicas Nosotras Normal suave 10 un,;Nosotras;999;0;0;0;belleza-y-cuidado-personal
Leche semidescremada 1 L;Colun;999;0;0;0;lacteos
Leche descremada 1 L;Colun;999;0;0;0;lacteos
Puré de Papas Maggi 125g;Maggi;999;0;0;0;instantaneos-y-sopas
Manzana Fuji granel;Frutas Y Verduras Propias;995;0;0;0;frutas
Manzana verde granel;Frutas Y Verduras Propias;995;0;0;0;frutas
Tomate granel;Frutas Y Verduras Propias;995;0;0;0;verduras
Toallas higiénicas Nosotras Normal suave sin alas 10 un,;Nosotras;990;0;0;0;belleza-y-cuidado-personal
Jabón alcohol gel 60 ml;Family Care;990;0;0;0;belleza-y-cuidado-personal
Zanahoria bolsa 1 kg;Frutas Y Verduras Propias;990;0;0;0;verduras
Lechuga costina un,;Frutas Y Verduras Propias;990;0;0;0;verduras
Ajo 2 un,;Frutas Y Verduras Propias;990;0;0;0;verduras
Cebollín paquete 3 un,;Frutas Y Verduras Propias;990;0;0;0;verduras
Leche sin lactosa semidescremada 1 L;Cuisine & Co;989;0;0;0;lacteos
Leche entera 1 L;Surlat;989;0;0;0;lacteos
Leche semidescremada 1 L;Surlat;989;0;0;0;lacteos
Leche descremada 1 L;Surlat;989;0;0;0;lacteos
Suprema de Pollo Jamón y Queso Receta del Abuelo 120 g;Receta Del Abuelo;979;0;0;0;congelados
Pechuga de Pollo Apanada Receta del Abuelo 120 g;Receta Del Abuelo;979;0;0;0;congelados
Escalopa Kayser Vacuno Jamón y Queso Receta del Abuelo 120 g;Receta Del Abuelo;979;0;0;0;congelados
Hamburguesa de vacuno grill de 100 g;La Crianza;979;0;0;0;congelados
Hamburguesa vacuno 100 g;Receta Del Abuelo;959;0;0;0;congelados
Hamburguesa de vacuno bacon 100 g;Receta Del Abuelo;959;0;0;0;congelados
Hamburguesa de Vacuno Grill Receta del Abuelo 100 g;Receta Del Abuelo;959;0;0;0;congelados
Hamburguesa de pollo 100 g;Receta Del Abuelo;959;0;0;0;congelados
Hamburguesa americana 100 g;Receta Del Abuelo;959;0;0;0;congelados
Acelga 500 g;Frutas Y Verduras Propias;950;0;0;0;verduras
Diente de dragón bandeja 250 g;Frutas Y Verduras Propias;950;0;0;0;verduras
Zanahorias Jugo 1 kg;Frutas Y Verduras Propias;950;0;0;0;verduras
Pomelo rosado granel;Frutas Y Verduras Propias;945;0;0;0;frutas
Pera Packham’s granel;Frutas Y Verduras Santa Isabel;945;0;0;0;frutas
Limón granel;Frutas Y Verduras Propias;945;0;0;0;verduras
Leche entera natural 1 L;Soprole;939;0;0;0;lacteos
Leche semidescremada natural 1 L;Soprole;939;0;0;0;lacteos
